Monday, 8th. :: None :: None
Tuesday, 9th. :: None :: None
Wednesday, 10th. :: None :: None
Thursday, 11th. :: None :: None
Wednesday, 12th. :: None :: None
Thursday, 13th. :: None :: None
Sunday, 14th. :: None :: None
Monday, 15th. :: None :: None
Tuesday, 16th. :: None :: None
Wednesday, 17th. :: None :: None
Thursday, 18th. :: None :: None
Friday, 19th. :: None :: None
Saturday, 20th. :: None :: None
Sunday, 21st. :: None :: None
Monday, 22nd. :: None :: None
Tuesday, 23rd. :: None :: None
Wednesday, 24th. :: None :: None
Thursday, 25th. :: None :: None
Friday, 26th. :: 49 degrees 30 minutes North :: 5 degrees 52 minutes West
Saturday, 27th. :: 48 degrees 42 minutes North :: 6 degrees 49 minutes West
Sunday, 28th. :: 47 degrees 16 minutes North :: 9 degrees 7 minutes West
Monday, 29th. :: 46 degrees 38 minutes North :: 9 degrees 29 minutes West
Tuesday, 30th. :: 46 degrees 9 minutes North :: 9 degrees 52 minutes West
Wednesday, 31st. :: 45 degrees 3 minutes North :: 8 degrees 43 minutes West
Thursday, September 1st. :: 44 degrees 56 minutes North :: 9 degrees 9 minutes West
Friday, 2nd. :: 43 degrees 53 minutes North :: 9 degrees 26 minutes West
Saturday, 3rd. :: 44 degrees 9 minutes North :: 10 degrees 20 minutes West
Sunday, 4th. :: None :: None
Monday, 5th. :: None :: None
Tuesday, 6th. :: 42 degrees 1 minutes North :: 9 degrees 50 minutes West
Wednesday, 7th. :: 40 degrees 29 minutes North :: 10 degrees 11 minutes West
Thursday, 8th. :: None :: None
Friday, 9th. :: 37 degrees 4 minutes North :: 11 degrees 33 minutes West
Saturday, 10th. :: 35 degrees 20 minutes North :: 13 degrees 28 minutes West
Sunday, 11th. :: 34 degrees 1 minutes North :: 14 degrees 29 minutes West
Monday, 12th. :: 32 degrees 43 minutes North :: 15 degrees 53 minutes West
Tuesday, 13th. :: None :: None
Thursday, 15th. :: None :: None
Friday, 16th. :: None :: None
Saturday, 17th. :: None :: None
Sunday, 18th. :: None :: None
Monday, 19th. :: None :: None
Tuesday, 20th. :: 31 degrees 17 minutes None :: 17 degrees 19 minutes West
Wednesday, 21st. :: 30 degrees 46 minutes North :: 16 degrees 8 minutes South
Thursday, 22nd. :: 29 degrees 40 minutes North :: 15 degrees 31 minutes West
Friday, 23rd. :: 28 degrees 51 minutes North :: 15 degrees 50 minutes West
Saturday, 24th. :: 28 degrees 16 minutes North :: 16 degrees 38 minutes West
Sunday, 25th. :: None :: None
Monday, 26th. :: None :: None
Tuesday, 27th. :: None :: None
Wednesday, 28th. :: None :: None
Thursday, 29th. :: None :: None
Friday, 30th. :: None :: None
Saturday, October 1st. :: 14 degrees 6 minutes North :: 22 degrees 10 minutes West
Sunday, 2nd. :: 12 degrees 34 minutes North :: 22 degrees 10 minutes West
Monday, 3rd. :: 12 degrees 14 minutes North :: 22 degrees 10 minutes West
Tuesday, 4th. :: 11 degrees 53 minutes North :: 22 degrees 33 minutes West
Wednesday, 5th. :: 10 degrees 56 minutes North :: 22 degrees 3 minutes West
Thursday, 6th. :: 9 degrees 40 minutes North :: 22 degrees 28 minutes West
Friday, 7th. :: 9 degrees 42 minutes North :: 22 degrees 19 minutes West
Saturday, 8th. :: 8 degrees 25 minutes North :: 22 degrees 4 minutes West
Sunday, 9th. :: 7 degrees 58 minutes North :: 22 degrees 13 minutes West
Monday, 10th. :: 7 degrees 48 minutes North :: 22 degrees 13 minutes West
Tuesday, 11th. :: 7 degrees 36 minutes North :: 22 degrees 8 minutes West
Wednesday, 12th. :: 7 degrees 21 minutes North :: 22 degrees 39 minutes West
Thursday, 13th. :: 7 degrees 1 minutes North :: 22 degrees 32 minutes West
Friday, 14th. :: 6 degrees 38 minutes North :: 22 degrees 30 minutes West
Saturday, 15th. :: 6 degrees 50 minutes North :: 22 degrees 23 minutes West
Sunday, 16th. :: 5 degrees 38 minutes North :: 23 degrees 45 minutes West
Monday, 17th. :: 5 degrees 17 minutes North :: 23 degrees 47 minutes West
Tuesday, 18th. :: 4 degrees 47 minutes North :: 24 degrees 23 minutes West
Wednesday, 19th. :: 3 degrees 44 minutes North :: 25 degrees 23 minutes West
