Monday, 8th. :: None :: None
Tuesday, 9th. :: None :: None
Wednesday, 10th. :: None :: None
Thursday, 11th. :: None :: None
Wednesday, 12th. :: None :: None
Thursday, 13th. :: None :: None
Sunday, 14th. :: None :: None
Monday, 15th. :: None :: None
Tuesday, 16th. :: None :: None
Wednesday, 17th. :: None :: None
Thursday, 18th. :: None :: None
Friday, 19th. :: None :: None
Saturday, 20th. :: None :: None
Sunday, 21st. :: None :: None
Monday, 22nd. :: None :: None
Tuesday, 23rd. :: None :: None
Wednesday, 24th. :: None :: None
Thursday, 25th. :: None :: None
Friday, 26th. :: 49.5 :: -5.867
Saturday, 27th. :: 48.7 :: -6.817
Sunday, 28th. :: 47.267 :: -9.117
Monday, 29th. :: 46.633 :: -9.483
Tuesday, 30th. :: 46.15 :: -9.867
Wednesday, 31st. :: 45.05 :: -8.717
Thursday, September 1st. :: 44.933 :: -9.15
Friday, 2nd. :: 43.883 :: -9.433
Saturday, 3rd. :: 44.15 :: -10.333
Sunday, 4th. :: None :: None
Monday, 5th. :: None :: None
Tuesday, 6th. :: 42.017 :: -9.833
Wednesday, 7th. :: 40.483 :: -10.183
Thursday, 8th. :: None :: None
Friday, 9th. :: 37.067 :: -11.55
Saturday, 10th. :: 35.333 :: -13.467
Sunday, 11th. :: 34.017 :: -14.483
Monday, 12th. :: 32.717 :: -15.883
Tuesday, 13th. :: None :: None
Thursday, 15th. :: None :: None
Friday, 16th. :: None :: None
Saturday, 17th. :: None :: None
Sunday, 18th. :: None :: None
Monday, 19th. :: None :: None
Tuesday, 20th. :: -31.283 :: -17.317
Wednesday, 21st. :: 30.767 :: -16.133
Thursday, 22nd. :: 29.667 :: -15.517
Friday, 23rd. :: 28.85 :: -15.833
Saturday, 24th. :: 28.267 :: -16.633
Sunday, 25th. :: None :: None
Monday, 26th. :: None :: None
Tuesday, 27th. :: None :: None
Wednesday, 28th. :: None :: None
Thursday, 29th. :: None :: None
Friday, 30th. :: None :: None
Saturday, October 1st. :: 14.1 :: -22.167
Sunday, 2nd. :: 12.567 :: -22.167
Monday, 3rd. :: 12.233 :: -22.167
Tuesday, 4th. :: 11.883 :: -22.55
Wednesday, 5th. :: 10.933 :: -22.05
Thursday, 6th. :: 9.667 :: -22.467
Friday, 7th. :: 9.7 :: -22.317
Saturday, 8th. :: 8.417 :: -22.067
Sunday, 9th. :: 7.967 :: -22.217
Monday, 10th. :: 7.8 :: -22.217
Tuesday, 11th. :: 7.6 :: -22.133
Wednesday, 12th. :: 7.35 :: -22.65
Thursday, 13th. :: 7.017 :: -22.533
Friday, 14th. :: 6.633 :: -22.5
Saturday, 15th. :: 6.833 :: -22.383
Sunday, 16th. :: 5.633 :: -23.75
Monday, 17th. :: 5.283 :: -23.783
Tuesday, 18th. :: 4.783 :: -24.383
Wednesday, 19th. :: 3.733 :: -25.383
Thursday, 20th. :: 3.267 :: -26.333
Friday, 21st. :: 2.767 :: -27.183
Saturday, 22nd. :: None :: None
Sunday, 23rd. :: None :: None
Monday, 24th. :: None :: None
Tuesday, 25th. :: -0.25 :: -29.5
Wednesday, 26th. :: None :: None
Thursday, 27th. :: -2.383 :: -31.117
Friday, 28th. :: -3.683 :: -32.483
Saturday, 29th. :: None :: None
Sunday, 30th. :: -7.133 :: -33.067
Monday, 31st. :: -9.017 :: -33.267
Tuesday, November 1st. :: None :: None
Wednesday, 2nd. :: -12.8 :: -32.333
Thursday, 3rd. :: -14.85 :: -33.117
Friday, 4th. :: -16.817 :: -33.617
Saturday, 5th. :: -18.367 :: -34.833
Sunday, 6th. :: -19.05 :: -35.833
Monday, 7th. :: -19.767 :: -36.833
Tuesday, 8th. :: -21.267 :: -37.583
Wednesday, 9th. :: None :: None
Thursday, 10th. :: -21.5 :: -37.717
Friday, 11th. :: -23.617 :: -37.817
Saturday, 12th. :: None :: None
Sunday, 13th. :: None :: None
Tuesday, 15th. :: None :: None
Wednesday, 16th. :: None :: None
Thursday, 17th. :: None :: None
Friday, 18th. :: None :: None
Saturday, 19th. :: None :: None
Sunday, 20th. :: None :: None
Monday, 21st. :: None :: None
Tuesday, 22nd. :: None :: None
Wednesday, 23rd. :: None :: None
